resample,classifier,auc,duration_s
0,random_forest,0.9801959522547758,3.2294979095458984
0,xgboost,0.9812875217654631,4.5242040157318115
0,logistic_regression,0.9655137930735357,2.5771682262420654
1,random_forest,0.9865222883411737,3.331833839416504
1,xgboost,0.9884343210968598,4.722501039505005
1,logistic_regression,0.94521075523623,2.034895896911621
2,random_forest,0.9794921793451206,3.633807897567749
2,xgboost,0.9811102092352092,4.764508008956909
2,logistic_regression,0.9696759648404385,2.082476854324341
3,random_forest,0.991522207001923,3.581111192703247
3,xgboost,0.9912560105546921,4.974102973937988
3,logistic_regression,0.9480465558219107,1.9998281002044678
4,random_forest,0.9718184196353568,3.7050600051879883
4,xgboost,0.9723684980784372,5.162344932556152
4,logistic_regression,0.9492702214114483,1.791459083557129
5,random_forest,0.9910291995586112,3.804561138153076
5,xgboost,0.9939763041091314,4.748821020126343
5,logistic_regression,0.9588789152024446,0.965559720993042
6,random_forest,0.9922946906035142,3.871169090270996
6,xgboost,0.9957922077922078,5.11710000038147
6,logistic_regression,0.9535387769909829,1.5613369941711426
7,random_forest,0.985416943932569,3.9238457679748535
7,xgboost,0.986681521093286,5.188539028167725
7,logistic_regression,0.9379083050382808,1.790982961654663
8,random_forest,0.9798131989538239,3.8443732261657715
8,xgboost,0.9801234442640693,5.370749235153198
8,logistic_regression,0.9099221004689756,2.583848237991333
9,random_forest,0.9910413352372555,3.9694442749023438
9,xgboost,0.9954715219421102,6.296576023101807
9,logistic_regression,0.9308440730993912,1.0899391174316406
10,random_forest,0.9740753420532832,3.4715371131896973
10,xgboost,0.9785089820889453,4.796517848968506
10,logistic_regression,0.8555693865330088,2.017637014389038
11,random_forest,0.9792406393153547,2.8930492401123047
11,xgboost,0.9804563406496518,4.524277925491333
11,logistic_regression,0.9596397698864492,0.9019339084625244
12,random_forest,0.976664674667521,2.8732709884643555
12,xgboost,0.9780872448234877,5.528998136520386
12,logistic_regression,0.9595619878307383,1.4170951843261719
13,random_forest,0.9777716070299087,3.3561432361602783
13,xgboost,0.9702504819131953,4.889412879943848
13,logistic_regression,0.9321295405258878,2.088463306427002
14,random_forest,0.9728522598298657,4.445347785949707
14,xgboost,0.974248119203789,5.7774598598480225
14,logistic_regression,0.9557350832736065,2.1562788486480713
15,random_forest,0.9926849951124144,2.9462788105010986
15,xgboost,0.994324576409254,5.153329849243164
15,logistic_regression,0.9183025227474942,1.7151458263397217
16,random_forest,0.9971410533910534,3.3942370414733887
16,xgboost,0.9946306022408964,4.800126314163208
16,logistic_regression,0.9484037121691296,1.4522171020507812
17,random_forest,0.9893596498160392,3.64542818069458
17,xgboost,0.9827074936557695,5.04144287109375
17,logistic_regression,0.9574791086758632,1.8603780269622803
18,random_forest,0.9864736590038314,3.8579390048980713
18,xgboost,0.9893026819923373,5.359026193618774
18,logistic_regression,0.9691998631235285,1.929933786392212
19,random_forest,0.9797089716444555,3.2028610706329346
19,xgboost,0.979293157224846,4.522748231887817
19,logistic_regression,0.9749568575944287,1.0346298217773438
20,random_forest,0.9925752896341132,3.8937668800354004
20,xgboost,0.9969664594664595,6.087886095046997
20,logistic_regression,0.9588423372246903,2.182504892349243
21,random_forest,0.9743516467192939,3.2186660766601562
21,xgboost,0.9778319115524999,5.084479093551636
21,logistic_regression,0.9406770801319482,1.6406610012054443
22,random_forest,0.9954182884175176,3.495166778564453
22,xgboost,0.9964491732176741,4.618801832199097
22,logistic_regression,0.9649604633947909,1.2385380268096924
23,random_forest,0.9915462485977192,4.045130014419556
23,xgboost,0.9923631058484,5.06653904914856
23,logistic_regression,0.9498971339048738,1.2786900997161865
24,random_forest,0.9851545815295817,3.1915860176086426
24,xgboost,0.9806628787878788,4.965399980545044
24,logistic_regression,0.9658459595959595,2.6212992668151855
25,random_forest,0.9859023704789834,3.1835808753967285
25,xgboost,0.9877818507657217,4.8109450340271
25,logistic_regression,0.9768411336093974,0.7975292205810547
26,random_forest,0.9840223126151733,3.2446861267089844
26,xgboost,0.9882636852394917,4.901717185974121
26,logistic_regression,0.9423930545458651,1.763430118560791
27,random_forest,0.9860532881591053,3.2470510005950928
27,xgboost,0.9885832547828516,4.732970952987671
27,logistic_regression,0.9388382704621439,1.6015942096710205
28,random_forest,0.9917070685590448,3.254317045211792
28,xgboost,0.9912179602800718,4.488177061080933
28,logistic_regression,0.9433704824928734,2.1024699211120605
29,random_forest,0.9911962481962482,3.1588940620422363
29,xgboost,0.9900432900432901,4.657351016998291
29,logistic_regression,0.9489409218232746,1.9980731010437012
30,random_forest,0.9921192789493608,3.111745834350586
30,xgboost,0.9914806836407584,4.664019823074341
30,logistic_regression,0.9494097478923142,0.8176419734954834
31,random_forest,0.968206962329355,3.2215001583099365
31,xgboost,0.9771281024165152,5.082226037979126
31,logistic_regression,0.9323513566232604,1.6032729148864746
32,random_forest,0.9817842487373738,3.500664710998535
32,xgboost,0.9829551953357101,5.054388999938965
32,logistic_regression,0.9497492916509144,1.7683398723602295
33,random_forest,0.9808325162785849,6.945602178573608
33,xgboost,0.9892477882220826,6.864197254180908
33,logistic_regression,0.933257530713502,0.9057738780975342
34,random_forest,0.9838311688311687,6.675028085708618
34,xgboost,0.9807954545454545,6.882742643356323
34,logistic_regression,0.9419454277708545,2.362011194229126
35,random_forest,0.9964988886561468,6.018882989883423
35,xgboost,0.9965595549466517,7.115699052810669
35,logistic_regression,0.939532533895437,2.643267869949341
36,random_forest,0.9866118283196084,6.582334041595459
36,xgboost,0.9819288986366785,7.240780830383301
36,logistic_regression,0.9479021886884791,2.7514240741729736
37,random_forest,0.9884807635175281,5.718373775482178
37,xgboost,0.9890843608123019,7.028841972351074
37,logistic_regression,0.9412136181253828,2.929502010345459
38,random_forest,0.9882492706271169,5.9549291133880615
38,xgboost,0.9931670921056595,6.749456882476807
38,logistic_regression,0.9602658001128116,3.1788389682769775
39,random_forest,0.9975578112674887,4.970468044281006
39,xgboost,0.9965465616826504,6.239201784133911
39,logistic_regression,0.9697563612571137,2.9129929542541504
40,random_forest,0.9808232518232518,6.1559062004089355
40,xgboost,0.9868710317460317,6.4226250648498535
40,logistic_regression,0.9603066670566671,2.9231958389282227
41,random_forest,0.9701059776916633,5.553779125213623
41,xgboost,0.9698535991864976,6.95030403137207
41,logistic_regression,0.9338298032400856,2.1161000728607178
42,random_forest,0.9908878968253969,5.685976266860962
42,xgboost,0.9953033625730994,6.994282007217407
42,logistic_regression,0.9358761783270314,1.856518030166626
43,random_forest,0.9808047806374379,5.481862783432007
43,xgboost,0.9802781802376123,6.505137920379639
43,logistic_regression,0.9592557109544939,1.2779560089111328
44,random_forest,0.9884725663194794,5.513067960739136
44,xgboost,0.9851304128605296,6.529330253601074
44,logistic_regression,0.9658732735324781,1.5306870937347412
45,random_forest,0.9668016502788799,5.569981813430786
45,xgboost,0.9728448828211637,7.110330820083618
45,logistic_regression,0.9541167229355084,3.0584261417388916
46,random_forest,0.9820606060606061,5.46360182762146
46,xgboost,0.9774315679839873,6.813054084777832
46,logistic_regression,0.9473654907710884,3.8541109561920166
47,random_forest,0.9706656826036866,5.521345138549805
47,xgboost,0.974805387544803,6.738521099090576
47,logistic_regression,0.9515235884187497,0.8787639141082764
48,random_forest,0.9796078211849004,4.355715751647949
48,xgboost,0.9835348998533583,5.881360769271851
48,logistic_regression,0.9178227150387392,1.5675220489501953
49,random_forest,0.9879947406289175,4.422551870346069
49,xgboost,0.9889026608047743,5.877232313156128
49,logistic_regression,0.9457978816851176,3.123668909072876
50,random_forest,0.9734068304435655,4.845707893371582
50,xgboost,0.974187120596039,6.060965061187744
50,logistic_regression,0.9454785189732415,0.8812007904052734
51,random_forest,0.987291026625704,4.638304948806763
51,xgboost,0.9922219022017409,6.056970119476318
51,logistic_regression,0.9705860969973873,2.8184447288513184
52,random_forest,0.9896014581296839,5.105081081390381
52,xgboost,0.9901735092864126,6.568532228469849
52,logistic_regression,0.9531804355582818,3.4388999938964844
53,random_forest,0.9827961866564807,5.220936059951782
53,xgboost,0.9858650581444699,6.668050289154053
53,logistic_regression,0.92036482326544,1.8419547080993652
54,random_forest,0.9889800848238981,5.899855852127075
54,xgboost,0.991440065681445,6.617141008377075
54,logistic_regression,0.9597043420096159,2.5283639430999756
55,random_forest,0.9914714896194319,5.380419969558716
55,xgboost,0.9973119964944214,6.785382032394409
55,logistic_regression,0.9580163920041562,2.8370330333709717
56,random_forest,0.9952903020182433,5.7116920948028564
56,xgboost,0.9979202279202279,6.705403089523315
56,logistic_regression,0.9704581280684221,2.1492159366607666
57,random_forest,0.9783081643977635,8.825298070907593
57,xgboost,0.9778401511814403,7.971030950546265
57,logistic_regression,0.9282888165602824,3.4253499507904053
58,random_forest,0.9723687834590471,5.792586088180542
58,xgboost,0.9694954196412107,7.661546945571899
58,logistic_regression,0.9483212355093693,2.0250680446624756
59,random_forest,0.9890660635660635,5.410985946655273
59,xgboost,0.9897311207311207,7.078096866607666
59,logistic_regression,0.9489721868545399,2.1256351470947266
60,random_forest,0.9857620457316199,7.3480870723724365
60,xgboost,0.9931826262657906,8.829505681991577
60,logistic_regression,0.9429912382379178,3.668256998062134
61,random_forest,0.9922933782200565,6.793726921081543
61,xgboost,0.9916424129219136,7.2150068283081055
61,logistic_regression,0.9572775587954372,3.2421810626983643
62,random_forest,0.9912339303782428,5.375180006027222
62,xgboost,0.989986922484176,6.672652959823608
62,logistic_regression,0.9488887036318875,3.9009830951690674
63,random_forest,0.9680297334244703,5.273391962051392
63,xgboost,0.9696098200045569,6.547048091888428
63,logistic_regression,0.9560562502512967,3.2403769493103027
64,random_forest,0.9677839868776651,5.587539911270142
64,xgboost,0.9651684120167591,7.157009840011597
64,logistic_regression,0.9636826824262659,2.8532049655914307
65,random_forest,0.9802374551971325,6.031368255615234
65,xgboost,0.97928376283215,8.70939588546753
65,logistic_regression,0.9503611499176013,3.6267428398132324
66,random_forest,0.9848342119350184,5.9032511711120605
66,xgboost,0.985572516641065,6.7988197803497314
66,logistic_regression,0.964949186566122,1.3104329109191895
67,random_forest,0.9850622067460936,5.766664266586304
67,xgboost,0.9923251900229587,6.5630881786346436
67,logistic_regression,0.9726533702837898,3.567124128341675
68,random_forest,0.9870641858141859,5.803829908370972
68,xgboost,0.9876413304437499,10.048424005508423
68,logistic_regression,0.955100669100165,2.025592803955078
69,random_forest,0.9760858585858585,5.968629360198975
69,xgboost,0.978999023851965,6.93031907081604
69,logistic_regression,0.9611357531357531,3.1814401149749756
70,random_forest,0.9721240195736165,5.538680076599121
70,xgboost,0.9724142963331472,7.38400673866272
70,logistic_regression,0.9226046845945509,2.9289121627807617
71,random_forest,0.9818275613275613,5.336907148361206
71,xgboost,0.985812950937951,6.726759910583496
71,logistic_regression,0.9437283761989643,2.265563726425171
72,random_forest,0.9635891815110564,5.200160980224609
72,xgboost,0.9657375609760479,7.142300844192505
72,logistic_regression,0.9374791111399083,3.5529561042785645
73,random_forest,0.9871924603174603,5.426825284957886
73,xgboost,0.9871428571428572,6.434447765350342
73,logistic_regression,0.9717727794588216,2.528045892715454
74,random_forest,0.9813317003639584,5.597423076629639
74,xgboost,0.9736892583828067,7.26733922958374
74,logistic_regression,0.9421845030514385,1.8162999153137207
75,random_forest,0.9877177060543996,5.509460926055908
75,xgboost,0.991563466122438,6.793834924697876
75,logistic_regression,0.9543081538405896,2.1116271018981934
76,random_forest,0.9760112222612223,5.449361801147461
76,xgboost,0.9818748938969527,7.088174104690552
76,logistic_regression,0.9157727026109381,2.8416972160339355
77,random_forest,0.9725634775463998,5.627722978591919
77,xgboost,0.9734511990565122,7.26775598526001
77,logistic_regression,0.9243057530998706,2.6139838695526123
78,random_forest,0.9765474952974953,5.561557054519653
78,xgboost,0.9853158515658516,7.2401838302612305
78,logistic_regression,0.9341790763114292,0.9189791679382324
79,random_forest,0.9639323554952032,6.343844175338745
79,xgboost,0.966446500601117,7.401278018951416
79,logistic_regression,0.9258431829629862,2.700490951538086
80,random_forest,0.9752090621612899,5.741239070892334
80,xgboost,0.9737596535758926,7.343709945678711
80,logistic_regression,0.9479916780196026,2.675694227218628
81,random_forest,0.9806139296808668,5.698943853378296
81,xgboost,0.9791429979475111,7.311474800109863
81,logistic_regression,0.9333676390002456,2.4283359050750732
82,random_forest,0.9972086605414404,5.587569952011108
82,xgboost,0.9939854214413038,6.83264422416687
82,logistic_regression,0.974796707588216,3.2344226837158203
83,random_forest,0.9615057870655592,5.815732002258301
83,xgboost,0.9619037415923662,7.705527067184448
83,logistic_regression,0.9347876528674638,2.573643922805786
84,random_forest,0.9917878717868577,5.977561950683594
84,xgboost,0.9951214184733456,6.565199136734009
84,logistic_regression,0.9489096469563,4.185343027114868
85,random_forest,0.9840977681395138,6.104114770889282
85,xgboost,0.9859627722056565,7.162261962890625
85,logistic_regression,0.9390451957909264,1.491879940032959
86,random_forest,0.9811991492589215,6.061928033828735
86,xgboost,0.9824078221220063,7.253036022186279
86,logistic_regression,0.9693961675579322,4.15205979347229
87,random_forest,0.9947994767574938,6.241761922836304
87,xgboost,0.9972860894113266,6.697500944137573
87,logistic_regression,0.9750890356737131,4.183363199234009
88,random_forest,0.9782353954289438,7.468717098236084
88,xgboost,0.9774561048270727,6.964261054992676
88,logistic_regression,0.952809640180608,1.6852967739105225
89,random_forest,0.9755165494227995,6.16700291633606
89,xgboost,0.9767268668831168,7.154330015182495
89,logistic_regression,0.9242704126386823,2.3905069828033447
90,random_forest,0.9871879509379511,5.936485052108765
90,xgboost,0.9902290764790764,6.874335050582886
90,logistic_regression,0.9474723199102002,3.517805814743042
91,random_forest,0.9948794142105337,6.45576810836792
91,xgboost,0.9968501814611873,7.037357807159424
91,logistic_regression,0.9396951208953107,1.0389072895050049
92,random_forest,0.9776062467997951,5.743340015411377
92,xgboost,0.974569543359866,6.926296949386597
92,logistic_regression,0.9485735232509425,2.599931001663208
93,random_forest,0.986149408150357,5.849721670150757
93,xgboost,0.9897999533146592,6.729466199874878
93,logistic_regression,0.9658613861187391,1.6056230068206787
94,random_forest,0.992360532575099,5.69322395324707
94,xgboost,0.9894563094634405,6.486437797546387
94,logistic_regression,0.9567669297434088,3.436387062072754
95,random_forest,0.978557681275227,5.732271909713745
95,xgboost,0.9766992421315444,6.573312044143677
95,logistic_regression,0.9552444083694083,1.0768380165100098
96,random_forest,0.9880519480519482,6.000349044799805
96,xgboost,0.9859467982997394,6.952744245529175
96,logistic_regression,0.9693200498337333,1.4104480743408203
97,random_forest,0.9779856322135734,5.474393129348755
97,xgboost,0.9776710384706708,6.731344938278198
97,logistic_regression,0.9519994018799165,2.7896840572357178
98,random_forest,0.9895815295815297,5.785151958465576
98,xgboost,0.9912012987012988,6.589520215988159
98,logistic_regression,0.9748723580341225,3.733881950378418
99,random_forest,0.9889090501792115,6.054194927215576
99,xgboost,0.9857101254480287,7.064445734024048
99,logistic_regression,0.9536046035453056,1.1675999164581299
