classifier,missingness,auc_point,auc_mean,auc_lo,auc_hi
random_forest,0.0,0.8875,0.8873183059441238,0.7186175073099416,1.0
random_forest,0.2,0.8875,0.8847779900051492,0.6937820742332022,1.0
random_forest,0.3,0.8875,0.887622261990517,0.7073397780164697,1.0
random_forest,0.5,0.9312499999999999,0.9314901866503492,0.8163265306122449,1.0
random_forest,0.7,0.95625,0.9560185149672517,0.8621173469387754,1.0
random_forest,0.8,0.96875,0.9689345593032757,0.8956521739130434,1.0
random_forest,0.9,0.94375,0.9436142517854157,0.8260130139012126,1.0
xgboost,0.0,0.875,0.8723389107614089,0.653061224489796,1.0
xgboost,0.2,0.875,0.86862168585754,0.6210227272727273,1.0
xgboost,0.3,0.8875000000000001,0.8829274217645843,0.6840624999999999,1.0
xgboost,0.5,0.88125,0.8860409952328334,0.7291347789115646,1.0
xgboost,0.7,0.975,0.9756525141265934,0.909055944055944,1.0
xgboost,0.8,0.9750000000000001,0.9749466501655857,0.9130434782608696,1.0
xgboost,0.9,0.95,0.9490326843464592,0.8420753588516746,1.0
logistic_regression,0.0,0.9500000000000001,0.9519156950332132,0.84609375,1.0
logistic_regression,0.2,0.9500000000000001,0.9508469458104275,0.8624592391304348,1.0
logistic_regression,0.3,0.95625,0.9523242584122136,0.8537146437522377,1.0
logistic_regression,0.5,0.9500000000000001,0.9490393009773959,0.8461229946524064,1.0
logistic_regression,0.7,0.95,0.9478744991420538,0.8332812500000001,1.0
logistic_regression,0.8,0.8875000000000001,0.8856606589510602,0.721552795031056,1.0
logistic_regression,0.9,0.8625,0.863270164470813,0.6841365131578948,1.0
