classifier,model_type,follow_up,missingness,roc_auc
logistic_regression,slopes+intercepts,120,0.3,0.9475806451612904
logistic_regression,slopes+intercepts,120,0.5,0.9334677419354838
logistic_regression,slopes+intercepts,120,0.7,0.9213709677419354
logistic_regression,slopes+intercepts,120,0.9,0.7903225806451614
logistic_regression,slopes+intercepts,96,0.3,0.97265625
logistic_regression,slopes+intercepts,96,0.5,0.943359375
logistic_regression,slopes+intercepts,96,0.7,0.92578125
logistic_regression,slopes+intercepts,96,0.9,0.734375
logistic_regression,slopes+intercepts,72,0.3,0.9278846153846154
logistic_regression,slopes+intercepts,72,0.5,0.9158653846153846
logistic_regression,slopes+intercepts,72,0.7,0.846153846153846
logistic_regression,slopes+intercepts,72,0.9,0.8197115384615383
logistic_regression,slopes+intercepts,48,0.3,0.9047619047619048
logistic_regression,slopes+intercepts,48,0.5,0.9047619047619048
logistic_regression,slopes+intercepts,48,0.7,0.9047619047619048
logistic_regression,slopes+intercepts,48,0.9,0.38095238095238093
logistic_regression,slopes+intercepts,24,0.3,
logistic_regression,slopes+intercepts,24,0.5,
logistic_regression,slopes+intercepts,24,0.7,
logistic_regression,slopes+intercepts,24,0.9,
logistic_regression,slopes+intercepts,12,0.3,
logistic_regression,slopes+intercepts,12,0.5,
logistic_regression,slopes+intercepts,12,0.7,
logistic_regression,slopes+intercepts,12,0.9,
