score_set,classifier,model_type,lac_threshold,empirical_coverage,coverage_ci_lo,coverage_ci_hi,frac_single_set,frac_uncertain_set,frac_empty_set,n_test
full,logistic_regression,slopes+intercepts,0.6187372745508006,0.9073170731707317,0.8634146341463415,0.9415853658536584,0.9024390243902439,0.0975609756097561,0.0,205
full,random_forest,slopes+intercepts,0.43690609428196314,0.8878048780487805,0.8439024390243902,0.9317073170731708,0.9365853658536586,0.0,0.06341463414634146,205
full,xgboost,slopes+intercepts,0.37286558747291565,0.9219512195121952,0.8829268292682927,0.9560975609756097,0.975609756097561,0.0,0.024390243902439025,205
luxpark,logistic_regression,slopes+intercepts,0.5934702473879089,0.926829268292683,0.8878048780487805,0.9609756097560975,0.9414634146341463,0.05853658536585366,0.0,205
luxpark,random_forest,slopes+intercepts,0.44270136808286487,0.8878048780487805,0.8439024390243902,0.9317073170731708,0.9365853658536586,0.0,0.06341463414634146,205
luxpark,xgboost,slopes+intercepts,0.4620313048362732,0.9317073170731708,0.8926829268292683,0.9658536585365853,0.9902439024390244,0.0,0.00975609756097561,205
