score,roc_auc,classifier,model_type
UPDRS4,0.5299919322307383,logistic_regression,slopes
MOCA,0.7611133521581281,logistic_regression,slopes
SCOPA,0.7150262202501008,logistic_regression,slopes
RBDScr,0.467950786607503,logistic_regression,slopes
LNS,0.6260790641387657,logistic_regression,slopes
VFT_phon_f,0.6102057281161759,logistic_regression,slopes
VFT_sem_sum,0.5962888261395723,logistic_regression,slopes
HVLT_DR,0.5053448971359419,logistic_regression,slopes
HVLT_IR,0.6378580072609924,logistic_regression,slopes
JLO,0.585901573215006,logistic_regression,slopes
SDM,0.7102864058087939,logistic_regression,slopes
SEADL,0.8862242839854781,logistic_regression,slopes
HY_off,0.6527632109721662,logistic_regression,slopes
HY_on,0.6386647841871722,logistic_regression,slopes
AXSC_off,0.7591367486889875,logistic_regression,slopes
AXSC_on,0.7111335215812828,logistic_regression,slopes
PIGD_off,0.7757765227914482,logistic_regression,slopes
PIGD_on,0.76345300524405,logistic_regression,slopes
ESS,0.6485074626865671,logistic_regression,slopes
GDS,0.6398547801532876,logistic_regression,slopes
LEDD,0.7221863654699475,logistic_regression,slopes
UPDRS3_off,0.7574021782977007,logistic_regression,slopes+intercepts
UPDRS3_on,0.7262605889471561,logistic_regression,slopes+intercepts
UPDRS1,0.9057684550221863,logistic_regression,slopes+intercepts
UPDRS2,0.9208350141185963,logistic_regression,slopes+intercepts
UPDRS4,0.5781766841468333,logistic_regression,slopes+intercepts
MOCA,0.7408027430415491,logistic_regression,slopes+intercepts
SCOPA,0.799435256151674,logistic_regression,slopes+intercepts
RBDScr,0.6026623638563937,logistic_regression,slopes+intercepts
LNS,0.6662162162162162,logistic_regression,slopes+intercepts
VFT_phon_f,0.6101048810004034,logistic_regression,slopes+intercepts
VFT_sem_sum,0.6976401774909238,logistic_regression,slopes+intercepts
HVLT_DR,0.6269261799112545,logistic_regression,slopes+intercepts
HVLT_IR,0.6846914078257363,logistic_regression,slopes+intercepts
JLO,0.6758572004840661,logistic_regression,slopes+intercepts
SDM,0.7831585316659945,logistic_regression,slopes+intercepts
SEADL,0.891528842275111,logistic_regression,slopes+intercepts
HY_off,0.7117184348527631,logistic_regression,slopes+intercepts
HY_on,0.7164582492940702,logistic_regression,slopes+intercepts
AXSC_off,0.7718434852763212,logistic_regression,slopes+intercepts
AXSC_on,0.7554659136748689,logistic_regression,slopes+intercepts
PIGD_off,0.7842678499394918,logistic_regression,slopes+intercepts
PIGD_on,0.8176684146833401,logistic_regression,slopes+intercepts
ESS,0.6392093586123436,logistic_regression,slopes+intercepts
GDS,0.6573013311819282,logistic_regression,slopes+intercepts
LEDD,0.7118596208148447,logistic_regression,slopes+intercepts
