classifier,missingness,auc_point,auc_mean,auc_lo,auc_hi
random_forest,0.0,0.9431946916976857,0.9444804572503581,0.9063578368593508,0.9772306367415816
random_forest,0.2,0.9431946916976857,0.9440997451489898,0.9035284286629245,0.9771185388465587
random_forest,0.3,0.9431946916976857,0.9433133932612573,0.9002258035331118,0.9767534206543139
random_forest,0.5,0.9482116847386309,0.9471682703459394,0.9085220428609851,0.9756643358949437
random_forest,0.7,0.9395533257808707,0.9391677043840209,0.9040895876193015,0.9681841856060606
random_forest,0.8,0.8850946755138372,0.8845402754815772,0.8348642528755071,0.9298538570540497
random_forest,0.9,0.8095161029292766,0.8098295486238271,0.7457007578527073,0.8657470334115239
xgboost,0.0,0.9494254733775692,0.9496693578750727,0.9133506930473967,0.9788401124338625
xgboost,0.2,0.9494254733775692,0.9495556615796227,0.9140177369967595,0.9791089545797125
xgboost,0.3,0.9494659329988672,0.949231549172839,0.9130295031873981,0.9769197174434949
xgboost,0.5,0.9477666289043536,0.9480436248394367,0.9128935934392581,0.9774788125673081
xgboost,0.7,0.9302880725036414,0.9304217322969358,0.8965937367664065,0.957231329624719
xgboost,0.8,0.8840427253600907,0.8839406164092436,0.8361999307831124,0.9258650645459626
xgboost,0.9,0.809192425958893,0.8069787089162719,0.7447047450098053,0.8632381028440141
logistic_regression,0.0,0.8895856934779091,0.8888307777147357,0.8375997444947496,0.9368016157369188
logistic_regression,0.2,0.8895856934779091,0.8896062744311422,0.8333541318418447,0.9395881561383704
logistic_regression,0.3,0.8895856934779091,0.8884667807065539,0.8335619547146493,0.9359610853815626
logistic_regression,0.5,0.8869558180935427,0.8888021773063816,0.8324817727744664,0.9326530914665242
logistic_regression,0.7,0.8598074122026218,0.8592169295170812,0.7989300196261272,0.9112295489104244
logistic_regression,0.8,0.777027027027027,0.7759492117765545,0.7125147573474605,0.8358284030365437
logistic_regression,0.9,0.7008415601229973,0.7006307078332252,0.626582885428565,0.7691859819704131
